Epoch: 1, Validation PPL: 76.71878051757812, Learning rate: 4.996745615189085e-05
Epoch: 2, Validation PPL: 47.86724853515625, Learning rate: 4.986667709655726e-05
Epoch: 3, Validation PPL: 38.864952087402344, Learning rate: 4.969791845612883e-05
Epoch: 4, Validation PPL: 35.895286560058594, Learning rate: 4.9461641576621046e-05
Epoch: 5, Validation PPL: 33.830501556396484, Learning rate: 4.915849238286656e-05
Epoch: 6, Validation PPL: 31.815406799316406, Learning rate: 4.878929961271014e-05
Epoch: 7, Validation PPL: 30.753650665283203, Learning rate: 4.835507255144114e-05
Epoch: 8, Validation PPL: 29.939409255981445, Learning rate: 4.785699827263814e-05
Epoch: 9, Validation PPL: 29.23710060119629, Learning rate: 4.729643839300375e-05
Epoch: 10, Validation PPL: 28.336502075195312, Learning rate: 4.6674925350020405e-05
Epoch: 11, Validation PPL: 27.49649429321289, Learning rate: 4.599415821263072e-05
Epoch: 12, Validation PPL: 27.32965660095215, Learning rate: 4.525599803639175e-05
Epoch: 13, Validation PPL: 26.663578033447266, Learning rate: 4.4462462775783794e-05
Epoch: 14, Validation PPL: 26.613676071166992, Learning rate: 4.361572176761118e-05
Epoch: 15, Validation PPL: 25.77472686767578, Learning rate: 4.2718089800544496e-05
Epoch: 16, Validation PPL: 25.500747680664062, Learning rate: 4.177202078703804e-05
Epoch: 17, Validation PPL: 25.273696899414062, Learning rate: 4.0780101054922994e-05
Epoch: 18, Validation PPL: 25.152324676513672, Learning rate: 3.9745042276995706e-05
Epoch: 19, Validation PPL: 24.997623443603516, Learning rate: 3.8669674057952594e-05
Epoch: 20, Validation PPL: 24.405975341796875, Learning rate: 3.7556936198919736e-05
Epoch: 21, Validation PPL: 24.43389320373535, Learning rate: 3.640987066074061e-05
Epoch: 22, Validation PPL: 24.37580680847168, Learning rate: 3.523161324796984e-05
Epoch: 23, Validation PPL: 24.206546783447266, Learning rate: 3.402538503633709e-05
Epoch: 24, Validation PPL: 23.78012466430664, Learning rate: 3.279448356708602e-05
Epoch: 25, Validation PPL: 23.56644058227539, Learning rate: 3.1542273832286406e-05
Epoch: 26, Validation PPL: 23.695419311523438, Learning rate: 3.027217907573769e-05
Epoch: 27, Validation PPL: 23.3901424407959, Learning rate: 2.8987671434639698e-05
Epoch: 28, Validation PPL: 23.422496795654297, Learning rate: 2.7692262447594017e-05
Epoch: 29, Validation PPL: 23.26763153076172, Learning rate: 2.6389493454888846e-05
Epoch: 30, Validation PPL: 22.924264907836914, Learning rate: 2.5082925917320183e-05
