Epoch: 1, Validation PPL: 41.298377990722656, Learning rate: 4.8838242196718805e-05
Epoch: 2, Validation PPL: 27.812929153442383, Learning rate: 4.535170118422839e-05
Epoch: 3, Validation PPL: 23.136547088623047, Learning rate: 3.987979234059502e-05
Epoch: 4, Validation PPL: 21.1749324798584, Learning rate: 3.2956329453749574e-05
Epoch: 5, Validation PPL: 20.730770111083984, Learning rate: 2.525673312276251e-05
Epoch: 6, Validation PPL: 18.20890998840332, Learning rate: 1.753213988890957e-05
Epoch: 7, Validation PPL: 16.652629852294922, Learning rate: 1.0536124874186084e-05
Epoch: 8, Validation PPL: 16.20004653930664, Learning rate: 4.9511865233123075e-06
Epoch: 9, Validation PPL: 16.058996200561523, Learning rate: 1.3221652533410918e-06
Epoch: 10, Validation PPL: 16.038177490234375, Learning rate: 3.0913754423710744e-09
Epoch: 11, Validation PPL: 19.531099319458008, Learning rate: 4.9717997571655115e-05
Epoch: 12, Validation PPL: 18.29006576538086, Learning rate: 4.882996607954266e-05
Epoch: 13, Validation PPL: 17.82944107055664, Learning rate: 4.735717441109382e-05
Epoch: 14, Validation PPL: 17.07390594482422, Learning rate: 4.533576395163689e-05
