Epoch: 1, Validation PPL: 82.72470092773438, Learning rate: 4.996745615189085e-05
Epoch: 2, Validation PPL: 51.689876556396484, Learning rate: 4.986667709655726e-05
Epoch: 3, Validation PPL: 41.717403411865234, Learning rate: 4.969791845612883e-05
Epoch: 4, Validation PPL: 37.423763275146484, Learning rate: 4.9461641576621046e-05
Epoch: 5, Validation PPL: 34.9111442565918, Learning rate: 4.915849238286656e-05
Epoch: 6, Validation PPL: 34.11757278442383, Learning rate: 4.878929961271014e-05
Epoch: 7, Validation PPL: 32.24101638793945, Learning rate: 4.835507255144114e-05
Epoch: 8, Validation PPL: 31.360929489135742, Learning rate: 4.785699827263814e-05
Epoch: 9, Validation PPL: 30.422243118286133, Learning rate: 4.729643839300375e-05
Epoch: 10, Validation PPL: 29.924400329589844, Learning rate: 4.6674925350020405e-05
Epoch: 11, Validation PPL: 29.20655632019043, Learning rate: 4.599415821263072e-05
Epoch: 12, Validation PPL: 28.97102165222168, Learning rate: 4.525599803639175e-05
Epoch: 13, Validation PPL: 28.59832191467285, Learning rate: 4.4462462775783794e-05
Epoch: 14, Validation PPL: 27.65235137939453, Learning rate: 4.361572176761118e-05
Epoch: 15, Validation PPL: 27.39317512512207, Learning rate: 4.2718089800544496e-05
Epoch: 16, Validation PPL: 27.3380184173584, Learning rate: 4.177202078703804e-05
Epoch: 17, Validation PPL: 27.177589416503906, Learning rate: 4.0780101054922994e-05
Epoch: 18, Validation PPL: 26.420024871826172, Learning rate: 3.9745042276995706e-05
Epoch: 19, Validation PPL: 26.67352867126465, Learning rate: 3.8669674057952594e-05
Epoch: 20, Validation PPL: 26.085664749145508, Learning rate: 3.7556936198919736e-05
Epoch: 21, Validation PPL: 26.293724060058594, Learning rate: 3.640987066074061e-05
Epoch: 22, Validation PPL: 26.100669860839844, Learning rate: 3.523161324796984e-05
Epoch: 23, Validation PPL: 26.12538719177246, Learning rate: 3.402538503633709e-05
Epoch: 24, Validation PPL: 25.561405181884766, Learning rate: 3.279448356708602e-05
Epoch: 25, Validation PPL: 25.297016143798828, Learning rate: 3.1542273832286406e-05
Epoch: 26, Validation PPL: 25.353321075439453, Learning rate: 3.027217907573769e-05
Epoch: 27, Validation PPL: 25.202844619750977, Learning rate: 2.8987671434639698e-05
Epoch: 28, Validation PPL: 25.713176727294922, Learning rate: 2.7692262447594017e-05
Epoch: 29, Validation PPL: 25.320632934570312, Learning rate: 2.6389493454888846e-05
Epoch: 30, Validation PPL: 25.2768611907959, Learning rate: 2.5082925917320183e-05
Epoch: 31, Validation PPL: 25.229169845581055, Learning rate: 2.377613168000292e-05
Epoch: 32, Validation PPL: 24.761398315429688, Learning rate: 2.2472683207794698e-05
Epoch: 33, Validation PPL: 25.000167846679688, Learning rate: 2.1176143819026118e-05
Epoch: 34, Validation PPL: 25.10698699951172, Learning rate: 1.989005794423637e-05
Epoch: 35, Validation PPL: 24.951780319213867, Learning rate: 1.861794143654205e-05
Epoch: 36, Validation PPL: 25.14870834350586, Learning rate: 1.736327196013026e-05
Epoch: 37, Validation PPL: 24.85800552368164, Learning rate: 1.612947948315045e-05
Epoch: 38, Validation PPL: 24.71024513244629, Learning rate: 1.4919936900998358e-05
Epoch: 39, Validation PPL: 24.972562789916992, Learning rate: 1.3737950815620491e-05
Epoch: 40, Validation PPL: 24.85474395751953, Learning rate: 1.2586752496050154e-05
Epoch: 41, Validation PPL: 24.935033798217773, Learning rate: 1.1469489044886135e-05
Epoch: 42, Validation PPL: 24.415130615234375, Learning rate: 1.0389214794863018e-05
Epoch: 43, Validation PPL: 24.468334197998047, Learning rate: 9.34888295903088e-06
Epoch: 44, Validation PPL: 24.329317092895508, Learning rate: 8.351337557371995e-06
Epoch: 45, Validation PPL: 24.300731658935547, Learning rate: 7.3993056419264966e-06
Epoch: 46, Validation PPL: 24.07928466796875, Learning rate: 6.495389841681498e-06
Epoch: 47, Validation PPL: 24.051013946533203, Learning rate: 5.642061247599939e-06
Epoch: 48, Validation PPL: 24.02086639404297, Learning rate: 4.841652657246257e-06
Epoch: 49, Validation PPL: 23.683746337890625, Learning rate: 4.096352197472873e-06
Epoch: 50, Validation PPL: 23.706331253051758, Learning rate: 3.40819734260072e-06
Epoch: 51, Validation PPL: 23.52215576171875, Learning rate: 2.779069344448239e-06
Epoch: 52, Validation PPL: 23.536399841308594, Learning rate: 2.210688089437004e-06
