Epoch: 1, Validation PPL: 42.732757568359375, Learning rate: 4.8838242196718805e-05
Epoch: 2, Validation PPL: 28.719932556152344, Learning rate: 4.535170118422839e-05
Epoch: 3, Validation PPL: 24.31414794921875, Learning rate: 3.987979234059502e-05
Epoch: 4, Validation PPL: 20.873388290405273, Learning rate: 3.2956329453749574e-05
Epoch: 5, Validation PPL: 18.917226791381836, Learning rate: 2.525673312276251e-05
Epoch: 6, Validation PPL: 18.09934425354004, Learning rate: 1.753213988890957e-05
Epoch: 7, Validation PPL: 17.00536346435547, Learning rate: 1.0536124874186084e-05
Epoch: 8, Validation PPL: 16.529109954833984, Learning rate: 4.9511865233123075e-06
Epoch: 9, Validation PPL: 16.306447982788086, Learning rate: 1.3221652533410918e-06
Epoch: 10, Validation PPL: 16.331127166748047, Learning rate: 3.0913754423710744e-09
Epoch: 11, Validation PPL: 19.554424285888672, Learning rate: 4.9717997571655115e-05
Epoch: 12, Validation PPL: 18.55443572998047, Learning rate: 4.882996607954266e-05
Epoch: 13, Validation PPL: 17.935562133789062, Learning rate: 4.735717441109382e-05
Epoch: 14, Validation PPL: 17.465139389038086, Learning rate: 4.533576395163689e-05
Epoch: 15, Validation PPL: 17.134321212768555, Learning rate: 4.2815338848103875e-05
Epoch: 16, Validation PPL: 16.90991973876953, Learning rate: 3.985774875432524e-05
Epoch: 17, Validation PPL: 16.723400115966797, Learning rate: 3.653557107925322e-05
Epoch: 18, Validation PPL: 16.696256637573242, Learning rate: 3.293032998279185e-05
