Epoch: 1, Validation PPL: 2054371.5, Learning rate: 5e-05
Epoch: 2, Validation PPL: 55041.9375, Learning rate: 4.996573836886435e-05
Epoch: 3, Validation PPL: 12028.4736328125, Learning rate: 4.9863047384206835e-05
Epoch: 4, Validation PPL: 4463.8486328125, Learning rate: 4.969220851487845e-05
Epoch: 5, Validation PPL: 2587.45947265625, Learning rate: 4.945369001834515e-05
Epoch: 6, Validation PPL: 1691.583984375, Learning rate: 4.9148145657226716e-05
Epoch: 7, Validation PPL: 1153.679931640625, Learning rate: 4.877641290737885e-05
Epoch: 8, Validation PPL: 868.8892822265625, Learning rate: 4.833951066243005e-05
Epoch: 9, Validation PPL: 581.7003173828125, Learning rate: 4.783863644106503e-05
Epoch: 10, Validation PPL: 469.4893798828125, Learning rate: 4.7275163104709206e-05
Epoch: 11, Validation PPL: 386.5143737792969, Learning rate: 4.6650635094610984e-05
Epoch: 12, Validation PPL: 340.05548095703125, Learning rate: 4.596676419863561e-05
Epoch: 13, Validation PPL: 286.66033935546875, Learning rate: 4.52254248593737e-05
Epoch: 14, Validation PPL: 258.7813720703125, Learning rate: 4.4428649036424284e-05
Epoch: 15, Validation PPL: 247.4604949951172, Learning rate: 4.3578620636934866e-05
Epoch: 16, Validation PPL: 222.99221801757812, Learning rate: 4.2677669529663696e-05
Epoch: 17, Validation PPL: 208.70999145507812, Learning rate: 4.1728265158971465e-05
Epoch: 18, Validation PPL: 190.08517456054688, Learning rate: 4.0733009776245946e-05
Epoch: 19, Validation PPL: 183.07626342773438, Learning rate: 3.9694631307311836e-05
Epoch: 20, Validation PPL: 172.79580688476562, Learning rate: 3.861597587537569e-05
Epoch: 21, Validation PPL: 167.17361450195312, Learning rate: 3.750000000000001e-05
Epoch: 22, Validation PPL: 154.00241088867188, Learning rate: 3.634976249348868e-05
Epoch: 23, Validation PPL: 144.51963806152344, Learning rate: 3.516841607689502e-05
Epoch: 24, Validation PPL: 140.4849395751953, Learning rate: 3.395919873863252e-05
Epoch: 25, Validation PPL: 131.88267517089844, Learning rate: 3.27254248593737e-05
Epoch: 26, Validation PPL: 127.77388000488281, Learning rate: 3.147047612756303e-05
Epoch: 27, Validation PPL: 124.27826690673828, Learning rate: 3.0197792270443992e-05
Epoch: 28, Validation PPL: 116.95674133300781, Learning rate: 2.8910861626005786e-05
Epoch: 29, Validation PPL: 115.81854248046875, Learning rate: 2.761321158169135e-05
Epoch: 30, Validation PPL: 114.77474212646484, Learning rate: 2.6308398906073605e-05
Epoch: 31, Validation PPL: 111.33396911621094, Learning rate: 2.5000000000000018e-05
Epoch: 32, Validation PPL: 106.57820129394531, Learning rate: 2.369160109392642e-05
Epoch: 33, Validation PPL: 107.01248168945312, Learning rate: 2.238678841830868e-05
Epoch: 34, Validation PPL: 103.93775177001953, Learning rate: 2.108913837399424e-05
Epoch: 35, Validation PPL: 103.93923950195312, Learning rate: 1.9802207729556027e-05
Epoch: 36, Validation PPL: 101.5899887084961, Learning rate: 1.8529523872436996e-05
Epoch: 37, Validation PPL: 99.72425079345703, Learning rate: 1.7274575140626328e-05
Epoch: 38, Validation PPL: 98.36265563964844, Learning rate: 1.6040801261367503e-05
Epoch: 39, Validation PPL: 99.07032775878906, Learning rate: 1.4831583923105007e-05
Epoch: 40, Validation PPL: 97.9254150390625, Learning rate: 1.3650237506511338e-05
Epoch: 41, Validation PPL: 95.39100646972656, Learning rate: 1.2500000000000012e-05
Epoch: 42, Validation PPL: 94.92451477050781, Learning rate: 1.1384024124624337e-05
Epoch: 43, Validation PPL: 94.08934020996094, Learning rate: 1.0305368692688181e-05
Epoch: 44, Validation PPL: 92.7232894897461, Learning rate: 9.266990223754074e-06
Epoch: 45, Validation PPL: 92.40580749511719, Learning rate: 8.271734841028558e-06
Epoch: 46, Validation PPL: 91.83673095703125, Learning rate: 7.322330470336319e-06
Epoch: 47, Validation PPL: 90.99778747558594, Learning rate: 6.4213793630651545e-06
Epoch: 48, Validation PPL: 89.40144348144531, Learning rate: 5.571350963575732e-06
Epoch: 49, Validation PPL: 88.97035217285156, Learning rate: 4.774575140626321e-06
Epoch: 50, Validation PPL: 87.42095947265625, Learning rate: 4.033235801364405e-06
Epoch: 51, Validation PPL: 87.05315399169922, Learning rate: 3.349364905389035e-06
Epoch: 52, Validation PPL: 85.61055755615234, Learning rate: 2.724836895290808e-06
Epoch: 53, Validation PPL: 84.77507019042969, Learning rate: 2.1613635589349773e-06
Epoch: 54, Validation PPL: 84.25732421875, Learning rate: 1.6604893375699577e-06
Epoch: 55, Validation PPL: 83.09597778320312, Learning rate: 1.2235870926211625e-06
Epoch: 56, Validation PPL: 82.31622314453125, Learning rate: 8.518543427732927e-07
Epoch: 57, Validation PPL: 81.58856201171875, Learning rate: 5.463099816548582e-07
Epoch: 58, Validation PPL: 80.90049743652344, Learning rate: 3.077914851215587e-07
Epoch: 59, Validation PPL: 78.10660552978516, Learning rate: 1.3695261579316507e-07
Epoch: 60, Validation PPL: 73.69682312011719, Learning rate: 3.42616311356542e-08
