Epoch: 1, Validation PPL: 1360146.75, Learning rate: 4.9863155484172744e-05
Epoch: 2, Validation PPL: 44521.296875, Learning rate: 4.945412005041234e-05
Epoch: 3, Validation PPL: 8947.52734375, Learning rate: 4.8777371639189716e-05
Epoch: 4, Validation PPL: 3648.78466796875, Learning rate: 4.7840318995198254e-05
Epoch: 5, Validation PPL: 1755.2958984375, Learning rate: 4.665322055966828e-05
Epoch: 6, Validation PPL: 1214.439453125, Learning rate: 4.522907216545103e-05
Epoch: 7, Validation PPL: 854.1923828125, Learning rate: 4.3583464764344665e-05
Epoch: 8, Validation PPL: 685.1500244140625, Learning rate: 4.1734413744193004e-05
Epoch: 9, Validation PPL: 559.2975463867188, Learning rate: 3.970216170432333e-05
Epoch: 10, Validation PPL: 481.23321533203125, Learning rate: 3.750895684845023e-05
Epoch: 11, Validation PPL: 419.68084716796875, Learning rate: 3.5178809421103115e-05
Epoch: 12, Validation PPL: 391.8572692871094, Learning rate: 3.2737228854001676e-05
Epoch: 13, Validation PPL: 357.216552734375, Learning rate: 3.021094449999065e-05
Epoch: 14, Validation PPL: 325.0137023925781, Learning rate: 2.7627613011811405e-05
Epoch: 15, Validation PPL: 312.361328125, Learning rate: 2.501551556920141e-05
Epoch: 16, Validation PPL: 278.70361328125, Learning rate: 2.240324826894701e-05
Epoch: 17, Validation PPL: 255.1144561767578, Learning rate: 1.9819409067361383e-05
Epoch: 18, Validation PPL: 240.17837524414062, Learning rate: 1.729228470240591e-05
Epoch: 19, Validation PPL: 225.78846740722656, Learning rate: 1.4849541022893001e-05
Epoch: 20, Validation PPL: 217.22409057617188, Learning rate: 1.2517920114911741e-05
Epoch: 21, Validation PPL: 202.88865661621094, Learning rate: 1.0322947541201735e-05
Epoch: 22, Validation PPL: 198.62290954589844, Learning rate: 8.288652898491191e-06
Epoch: 23, Validation PPL: 186.62258911132812, Learning rate: 6.437306752014747e-06
Epoch: 24, Validation PPL: 175.58834838867188, Learning rate: 4.789176827135799e-06
Epoch: 25, Validation PPL: 168.7666015625, Learning rate: 3.3623061271815593e-06
Epoch: 26, Validation PPL: 160.20079040527344, Learning rate: 2.172315406558682e-06
Epoch: 27, Validation PPL: 154.55319213867188, Learning rate: 1.2322321615873635e-06
Epoch: 28, Validation PPL: 145.8492431640625, Learning rate: 5.523480111872385e-07
Epoch: 29, Validation PPL: 134.54739379882812, Learning rate: 1.4010602874871057e-07
Epoch: 30, Validation PPL: 108.89793395996094, Learning rate: 1.92586310121531e-11
