Epoch: 1, Validation PPL: 25914184.0, Learning rate: 4.994593282159154e-05
Epoch: 2, Validation PPL: 66638.296875, Learning rate: 4.821863026326952e-05
Epoch: 3, Validation PPL: 7202.05078125, Learning rate: 4.4220796287568246e-05
Epoch: 4, Validation PPL: 2199.53466796875, Learning rate: 3.834346011052806e-05
Epoch: 5, Validation PPL: 1094.2799072265625, Learning rate: 3.116148556383426e-05
Epoch: 6, Validation PPL: 751.1217041015625, Learning rate: 2.3377343508879368e-05
Epoch: 7, Validation PPL: 543.0884399414062, Learning rate: 1.5752402972940574e-05
Epoch: 8, Validation PPL: 454.56976318359375, Learning rate: 9.032461439916421e-06
Epoch: 9, Validation PPL: 411.6920471191406, Learning rate: 3.8747981979079734e-06
Epoch: 10, Validation PPL: 400.7615966796875, Learning rate: 7.838856753303416e-07
Epoch: 11, Validation PPL: 651.0572509765625, Learning rate: 4.9986984897200646e-05
Epoch: 12, Validation PPL: 434.13983154296875, Learning rate: 4.955354144980543e-05
Epoch: 13, Validation PPL: 329.6148986816406, Learning rate: 4.8516108014439286e-05
Epoch: 14, Validation PPL: 254.17076110839844, Learning rate: 4.690020950505394e-05
Epoch: 15, Validation PPL: 211.47482299804688, Learning rate: 4.474560333547546e-05
Epoch: 16, Validation PPL: 171.28814697265625, Learning rate: 4.2105301231761246e-05
Epoch: 17, Validation PPL: 152.2958526611328, Learning rate: 3.9044264936714746e-05
Epoch: 18, Validation PPL: 138.1754150390625, Learning rate: 3.563780789732034e-05
Epoch: 19, Validation PPL: 128.4353790283203, Learning rate: 3.196974225982934e-05
Epoch: 20, Validation PPL: 123.38987731933594, Learning rate: 2.8130316763654406e-05
Epoch: 21, Validation PPL: 113.49433135986328, Learning rate: 2.4213996269935744e-05
Epoch: 22, Validation PPL: 108.58314514160156, Learning rate: 2.0317137557047657e-05
Epoch: 23, Validation PPL: 105.71709442138672, Learning rate: 1.6535618567552824e-05
Epoch: 24, Validation PPL: 104.00909423828125, Learning rate: 1.296247943638744e-05
Epoch: 25, Validation PPL: 102.12371063232422, Learning rate: 9.685633340196398e-06
Epoch: 26, Validation PPL: 102.86624145507812, Learning rate: 6.785703489864449e-06
Epoch: 27, Validation PPL: 101.0806884765625, Learning rate: 4.3340394846743255e-06
Epoch: 28, Validation PPL: 100.91179656982422, Learning rate: 2.3909618335259537e-06
Epoch: 29, Validation PPL: 100.712158203125, Learning rate: 1.0042778348506245e-06
Epoch: 30, Validation PPL: 100.62364196777344, Learning rate: 2.0810533036989278e-07
Epoch: 31, Validation PPL: 129.45960998535156, Learning rate: 4.999699150070484e-05
Epoch: 32, Validation PPL: 110.88172912597656, Learning rate: 4.988959623092392e-05
Epoch: 33, Validation PPL: 104.00130462646484, Learning rate: 4.962890029834245e-05
Epoch: 34, Validation PPL: 106.59858703613281, Learning rate: 4.921650971090536e-05
Epoch: 35, Validation PPL: 98.45692443847656, Learning rate: 4.8654964986039594e-05
Epoch: 36, Validation PPL: 97.31613159179688, Learning rate: 4.794772549988754e-05
Epoch: 37, Validation PPL: 96.1705322265625, Learning rate: 4.709914817594436e-05
Epoch: 38, Validation PPL: 97.36528778076172, Learning rate: 4.611446064438698e-05
Epoch: 39, Validation PPL: 98.16127014160156, Learning rate: 4.4999729037445905e-05
Epoch: 40, Validation PPL: 96.86492919921875, Learning rate: 4.376182061921509e-05
Epoch: 41, Validation PPL: 99.39715576171875, Learning rate: 4.240836148011768e-05
Epoch: 42, Validation PPL: 101.78684997558594, Learning rate: 4.094768955664949e-05
Epoch: 43, Validation PPL: 102.07073974609375, Learning rate: 3.938880326582014e-05
Epoch: 44, Validation PPL: 108.99565124511719, Learning rate: 3.774130607072774e-05
Epoch: 45, Validation PPL: 110.25001525878906, Learning rate: 3.60153473187688e-05
Epoch: 46, Validation PPL: 114.74781799316406, Learning rate: 3.422155971694753e-05
Epoch: 47, Validation PPL: 115.31822204589844, Learning rate: 3.237099382946563e-05
Epoch: 48, Validation PPL: 118.40898895263672, Learning rate: 3.0475050001117696e-05
Epoch: 49, Validation PPL: 127.46195220947266, Learning rate: 2.854540812587594e-05
Epoch: 50, Validation PPL: 128.02874755859375, Learning rate: 2.6593955693322146e-05
Epoch: 51, Validation PPL: 134.781005859375, Learning rate: 2.4632714556194387e-05
Epoch: 52, Validation PPL: 138.66708374023438, Learning rate: 2.267376687019425e-05
Epoch: 53, Validation PPL: 144.15768432617188, Learning rate: 2.0729180662299917e-05
Epoch: 54, Validation PPL: 152.0943145751953, Learning rate: 1.881093548611861e-05
Epoch: 55, Validation PPL: 152.3485107421875, Learning rate: 1.6930848622276223e-05
Epoch: 56, Validation PPL: 155.91970825195312, Learning rate: 1.5100502278483714e-05
Epoch: 57, Validation PPL: 164.42416381835938, Learning rate: 1.3331172237761788e-05
Epoch: 58, Validation PPL: 168.75411987304688, Learning rate: 1.163375839438393e-05
Epoch: 59, Validation PPL: 175.51861572265625, Learning rate: 1.0018717605468601e-05
Epoch: 60, Validation PPL: 180.67564392089844, Learning rate: 8.495999271885814e-06
