Epoch: 1, Validation PPL: 6678705.0, Learning rate: 5e-05
Epoch: 2, Validation PPL: 161947.96875, Learning rate: 4.996573836886435e-05
Epoch: 3, Validation PPL: 28766.41796875, Learning rate: 4.9863047384206835e-05
Epoch: 4, Validation PPL: 11163.71484375, Learning rate: 4.969220851487845e-05
Epoch: 5, Validation PPL: 6412.50048828125, Learning rate: 4.945369001834515e-05
Epoch: 6, Validation PPL: 3908.44189453125, Learning rate: 4.9148145657226716e-05
Epoch: 7, Validation PPL: 2798.991943359375, Learning rate: 4.877641290737885e-05
Epoch: 8, Validation PPL: 2033.3612060546875, Learning rate: 4.833951066243005e-05
Epoch: 9, Validation PPL: 1483.15673828125, Learning rate: 4.783863644106503e-05
Epoch: 10, Validation PPL: 1204.6192626953125, Learning rate: 4.7275163104709206e-05
Epoch: 11, Validation PPL: 1012.277587890625, Learning rate: 4.6650635094610984e-05
Epoch: 12, Validation PPL: 795.53564453125, Learning rate: 4.596676419863561e-05
Epoch: 13, Validation PPL: 724.4228515625, Learning rate: 4.52254248593737e-05
Epoch: 14, Validation PPL: 638.1414794921875, Learning rate: 4.4428649036424284e-05
Epoch: 15, Validation PPL: 556.82275390625, Learning rate: 4.3578620636934866e-05
Epoch: 16, Validation PPL: 478.53399658203125, Learning rate: 4.2677669529663696e-05
Epoch: 17, Validation PPL: 417.8792419433594, Learning rate: 4.1728265158971465e-05
Epoch: 18, Validation PPL: 377.6646728515625, Learning rate: 4.0733009776245946e-05
Epoch: 19, Validation PPL: 347.5326843261719, Learning rate: 3.9694631307311836e-05
Epoch: 20, Validation PPL: 326.66326904296875, Learning rate: 3.861597587537569e-05
Epoch: 21, Validation PPL: 292.9460144042969, Learning rate: 3.750000000000001e-05
Epoch: 22, Validation PPL: 271.65106201171875, Learning rate: 3.634976249348868e-05
Epoch: 23, Validation PPL: 255.8413543701172, Learning rate: 3.516841607689502e-05
Epoch: 24, Validation PPL: 237.1304168701172, Learning rate: 3.395919873863252e-05
Epoch: 25, Validation PPL: 235.8697509765625, Learning rate: 3.27254248593737e-05
Epoch: 26, Validation PPL: 220.82937622070312, Learning rate: 3.147047612756303e-05
Epoch: 27, Validation PPL: 214.97537231445312, Learning rate: 3.0197792270443992e-05
Epoch: 28, Validation PPL: 207.6571502685547, Learning rate: 2.8910861626005786e-05
Epoch: 29, Validation PPL: 199.8985595703125, Learning rate: 2.761321158169135e-05
Epoch: 30, Validation PPL: 200.07717895507812, Learning rate: 2.6308398906073605e-05
Epoch: 31, Validation PPL: 191.59083557128906, Learning rate: 2.5000000000000018e-05
Epoch: 32, Validation PPL: 189.94183349609375, Learning rate: 2.369160109392642e-05
Epoch: 33, Validation PPL: 187.671142578125, Learning rate: 2.238678841830868e-05
Epoch: 34, Validation PPL: 179.27978515625, Learning rate: 2.108913837399424e-05
Epoch: 35, Validation PPL: 176.55032348632812, Learning rate: 1.9802207729556027e-05
Epoch: 36, Validation PPL: 174.50634765625, Learning rate: 1.8529523872436996e-05
Epoch: 37, Validation PPL: 166.13465881347656, Learning rate: 1.7274575140626328e-05
Epoch: 38, Validation PPL: 161.31788635253906, Learning rate: 1.6040801261367503e-05
Epoch: 39, Validation PPL: 157.05967712402344, Learning rate: 1.4831583923105007e-05
Epoch: 40, Validation PPL: 153.43771362304688, Learning rate: 1.3650237506511338e-05
Epoch: 41, Validation PPL: 151.85836791992188, Learning rate: 1.2500000000000012e-05
Epoch: 42, Validation PPL: 149.20091247558594, Learning rate: 1.1384024124624337e-05
Epoch: 43, Validation PPL: 145.2687225341797, Learning rate: 1.0305368692688181e-05
Epoch: 44, Validation PPL: 143.65086364746094, Learning rate: 9.266990223754074e-06
Epoch: 45, Validation PPL: 140.90020751953125, Learning rate: 8.271734841028558e-06
Epoch: 46, Validation PPL: 139.27593994140625, Learning rate: 7.322330470336319e-06
Epoch: 47, Validation PPL: 138.14227294921875, Learning rate: 6.4213793630651545e-06
Epoch: 48, Validation PPL: 134.83164978027344, Learning rate: 5.571350963575732e-06
Epoch: 49, Validation PPL: 132.93136596679688, Learning rate: 4.774575140626321e-06
Epoch: 50, Validation PPL: 130.99819946289062, Learning rate: 4.033235801364405e-06
Epoch: 51, Validation PPL: 129.76473999023438, Learning rate: 3.349364905389035e-06
Epoch: 52, Validation PPL: 127.55868530273438, Learning rate: 2.724836895290808e-06
Epoch: 53, Validation PPL: 125.60167694091797, Learning rate: 2.1613635589349773e-06
Epoch: 54, Validation PPL: 123.41841888427734, Learning rate: 1.6604893375699577e-06
Epoch: 55, Validation PPL: 122.01399993896484, Learning rate: 1.2235870926211625e-06
Epoch: 56, Validation PPL: 120.4522705078125, Learning rate: 8.518543427732927e-07
Epoch: 57, Validation PPL: 118.52891540527344, Learning rate: 5.463099816548582e-07
Epoch: 58, Validation PPL: 116.16222381591797, Learning rate: 3.077914851215587e-07
Epoch: 59, Validation PPL: 111.54338836669922, Learning rate: 1.3695261579316507e-07
Epoch: 60, Validation PPL: 105.88645935058594, Learning rate: 3.42616311356542e-08
