Epoch: 1, Validation PPL: 189.00184323240825, Learning rate: 1
Epoch: 2, Validation PPL: 133.37390218400574, Learning rate: 1
Epoch: 3, Validation PPL: 114.16032828896114, Learning rate: 1
Epoch: 4, Validation PPL: 101.73961663819537, Learning rate: 1
Epoch: 5, Validation PPL: 94.03750123439816, Learning rate: 1
Epoch: 6, Validation PPL: 90.29015569473937, Learning rate: 1
Epoch: 7, Validation PPL: 87.5752255012248, Learning rate: 1
Epoch: 8, Validation PPL: 83.57699025379905, Learning rate: 1
Epoch: 9, Validation PPL: 81.87909024650749, Learning rate: 1
Epoch: 10, Validation PPL: 80.364992225711, Learning rate: 1
Epoch: 11, Validation PPL: 79.61480636391695, Learning rate: 1
Epoch: 12, Validation PPL: 78.38575556056468, Learning rate: 1
Epoch: 13, Validation PPL: 77.85816999619203, Learning rate: 1
Epoch: 14, Validation PPL: 77.14490318779112, Learning rate: 1
Epoch: 15, Validation PPL: 76.16898918768446, Learning rate: 1
Epoch: 16, Validation PPL: 76.53282873990761, Learning rate: 1
Epoch: 17, Validation PPL: 72.65801395079471, Learning rate: 0.5
Epoch: 18, Validation PPL: 71.79935718266243, Learning rate: 0.25
