Epoch: 1, Validation PPL: 151.80961144763683, Learning rate: 1.0
Epoch: 2, Validation PPL: 107.81571384883053, Learning rate: 1.0
Epoch: 3, Validation PPL: 89.5889137859217, Learning rate: 1.0
Epoch: 4, Validation PPL: 80.34936875544464, Learning rate: 1.0
Epoch: 5, Validation PPL: 74.52653841147323, Learning rate: 1.0
Epoch: 6, Validation PPL: 70.66449311486029, Learning rate: 1.0
Epoch: 7, Validation PPL: 67.42540800492233, Learning rate: 1.0
Epoch: 8, Validation PPL: 64.90556430867764, Learning rate: 1.0
Epoch: 9, Validation PPL: 62.832854270933176, Learning rate: 1.0
Epoch: 10, Validation PPL: 62.00894567145443, Learning rate: 1.0
Epoch: 11, Validation PPL: 60.2791314053399, Learning rate: 1.0
Epoch: 12, Validation PPL: 59.25004636956456, Learning rate: 1.0
Epoch: 13, Validation PPL: 58.61133712144595, Learning rate: 1.0
Epoch: 14, Validation PPL: 57.920615302172976, Learning rate: 1.0
Epoch: 15, Validation PPL: 57.24026267338967, Learning rate: 1.0
Epoch: 16, Validation PPL: 57.27477065246634, Learning rate: 1.0
Epoch: 17, Validation PPL: 54.209699680665, Learning rate: 0.5
Epoch: 18, Validation PPL: 52.86280988403952, Learning rate: 0.25
